ICOM1;ICOM2;ICOM3;Total ICOM;IACC1;IACC2;IACC3;IACC4;Total IACC;ICUR1;ICUR2;ICUR3;Total ICUR;ST1;ST2;ST3;ST4;Total ST;SA1;SA2;SA3;Total SA;BC1;BC2;BC3;Total BC;COIN1;COIN2;COIN3;COIN4;Total COIN;PESU1;PESU2;PESU3;PESU4;Total PESU;PUCH1;PUCH2;PUCH3;Total PUCH;RESP1;RESP2;RESP3;Total RESP;MIND1;MIND2;MIND3;MIND4;MIND5;MIND6;Total MIND;SE1;SE2;SE3;SE4;SE5;Total SE
6;5;7;18;6;5;5;6;22;6;6;4;16;5;6;5;5;21;6;7;6;19;7;6;6;19;5;6;6;5;22;7;7;6;6;26;5;5;5;15;5;5;6;16;5;5;5;6;7;5;33;6;6;7;6;6;31
5;6;4;15;4;6;5;4;19;4;4;4;12;4;4;5;4;17;5;6;5;16;4;3;3;10;7;6;6;5;24;5;6;4;3;18;6;6;4;16;5;6;3;14;5;5;7;7;7;7;38;2;3;5;2;4;16
6;5;5;16;4;6;6;5;21;5;5;5;15;6;7;5;6;24;5;4;6;15;4;5;5;14;5;6;6;7;24;6;7;6;6;25;6;5;4;15;5;6;4;15;6;6;7;6;6;7;38;4;5;6;4;5;24
4;4;4;12;4;4;4;4;16;4;4;4;12;4;4;4;4;16;4;4;4;12;4;4;4;12;4;4;4;4;16;4;4;4;4;16;4;4;4;12;4;4;4;12;4;4;4;4;4;4;24;4;4;4;4;4;20
5;5;3;13;2;6;5;5;18;6;6;6;18;5;6;3;3;17;5;6;3;14;6;6;3;15;5;3;5;5;18;6;6;5;6;23;7;7;3;17;2;2;3;7;7;6;7;7;7;7;41;6;3;6;6;7;28
7;6;6;19;3;4;3;4;14;6;7;7;20;7;7;5;5;24;7;7;7;21;5;6;4;15;5;6;7;7;25;7;7;7;7;28;4;5;5;14;3;4;2;9;6;5;6;4;6;6;33;7;7;6;7;6;33
7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;4;7;25;7;7;7;21;3;5;5;13;7;7;7;7;28;7;7;7;7;28;7;7;7;21;4;7;3;14;7;7;7;7;7;7;42;7;7;7;4;7;32
3;2;2;7;1;5;7;7;20;7;4;5;16;5;6;3;4;18;5;6;4;15;2;4;4;10;3;5;1;6;15;6;7;5;6;24;5;7;2;14;2;4;1;7;4;6;7;7;5;3;32;2;2;5;2;7;18
5;4;4;13;5;5;5;5;20;6;6;6;18;4;5;5;4;18;4;5;5;14;5;5;6;16;4;4;4;6;18;5;5;5;5;20;6;5;5;16;5;5;5;15;5;5;5;5;5;5;30;5;5;5;5;5;25
5;5;5;15;4;6;5;3;18;6;6;5;17;6;6;4;5;21;5;5;6;16;4;4;4;12;6;6;6;6;24;6;7;6;5;24;6;6;6;18;2;2;2;6;7;6;7;6;6;6;38;6;6;6;6;6;30
6;6;5;17;5;6;6;6;23;7;6;5;18;7;7;5;6;25;6;6;7;19;5;5;5;15;6;6;7;7;26;6;6;6;7;25;6;7;6;19;4;4;3;11;6;6;6;6;6;7;37;5;6;6;5;6;28
7;7;7;21;6;7;7;7;27;7;7;7;21;7;7;5;7;26;7;6;6;19;2;5;5;12;6;6;7;7;26;7;7;7;7;28;7;6;4;17;6;7;7;20;7;5;7;7;7;7;40;5;5;5;6;6;27
6;6;6;18;3;5;6;6;20;6;7;5;18;5;6;5;6;22;6;4;5;15;5;5;5;15;6;7;6;7;26;6;6;7;5;24;6;5;4;15;4;5;4;13;6;4;7;7;6;6;36;6;5;7;6;7;31
6;6;6;18;7;7;7;7;28;7;7;6;20;7;7;7;7;28;7;7;7;21;6;1;1;8;7;4;4;7;22;7;7;7;7;28;7;7;1;15;7;7;1;15;6;6;7;7;7;7;40;7;7;7;6;7;34
6;5;6;17;6;7;7;6;26;6;6;5;17;6;7;6;6;25;6;7;6;19;6;6;6;18;7;7;6;6;26;6;7;6;6;25;7;7;6;20;6;7;6;19;7;7;7;6;6;6;39;6;7;7;5;6;31
6;6;5;17;4;7;7;7;25;7;7;7;21;7;7;4;5;23;5;7;7;19;7;1;3;11;4;7;7;7;25;7;7;7;7;28;7;7;7;21;5;7;4;16;7;7;7;7;7;7;42;7;7;7;7;7;35
7;7;7;21;6;7;7;7;27;7;7;7;21;7;7;6;7;27;7;7;7;21;6;5;6;17;7;7;7;7;28;7;7;7;7;28;7;7;7;21;7;7;7;21;7;7;7;7;7;6;41;4;6;7;6;5;28
2;2;2;6;7;4;3;4;18;3;3;4;10;4;3;5;4;16;4;4;2;10;3;3;3;9;3;3;4;4;14;4;4;3;2;13;2;3;3;8;3;3;4;10;3;4;3;3;4;3;20;3;2;3;3;3;14
7;6;5;18;6;7;7;7;27;7;7;7;21;6;6;6;7;25;7;7;5;19;5;2;2;9;6;6;6;6;24;6;6;6;6;24;7;7;2;16;6;6;2;14;7;6;6;6;6;6;37;6;6;6;6;6;30
6;5;6;17;6;7;5;6;24;7;7;7;21;6;7;3;5;21;5;4;4;13;5;6;6;17;5;5;4;4;18;5;7;5;5;22;5;7;4;16;2;7;3;12;7;7;7;7;7;7;42;2;5;5;3;6;21
5;5;6;16;3;5;4;4;16;6;6;6;18;7;7;3;3;20;5;5;5;15;6;4;5;15;5;6;4;6;21;4;6;5;4;19;6;7;4;17;3;3;3;9;6;6;7;7;7;7;40;5;5;7;6;7;30
5;5;5;15;5;7;7;6;25;5;6;7;18;7;7;6;7;27;6;6;7;19;3;3;2;8;5;5;6;7;23;6;6;6;4;22;6;7;6;19;3;6;1;10;7;7;7;7;7;7;42;5;6;7;5;7;30
