ICOM1;ICOM2;ICOM3;Total ICOM;IACC1;IACC2;IACC3;IACC4;Total IACC;ICUR1;ICUR2;ICUR3;Total ICUR;ST1;ST2;ST3;ST4;Total ST;SA1;SA2;SA3;Total SA;BC1;BC2;BC3;Total BC;COIN1;COIN2;COIN3;COIN4;Total COIN;PESU1;PESU2;PESU3;PESU4;Total PESU;PUCH1;PUCH2;PUCH3;Total PUCH;RESP1;RESP2;RESP3;Total RESP;MIND1;MIND2;MIND3;MIND4;MIND5;MIND6;Total MIND;SE1;SE2;SE3;SE4;SE5;Total SE
7;7;5;19;2;7;7;7;23;7;7;7;21;7;7;7;7;28;6;7;7;20;7;6;7;20;6;7;6;7;26;7;7;7;6;27;6;5;7;18;7;4;3;14;5;6;7;3;4;7;32;7;7;7;7;7;35
7;6;3;16;6;6;6;7;25;6;6;6;18;7;7;6;6;26;6;6;6;18;6;6;2;14;6;6;6;6;24;6;6;6;6;24;5;6;3;14;6;6;3;15;6;6;6;6;6;6;36;7;7;6;7;7;34
6;6;6;18;6;6;6;6;24;6;6;6;18;6;6;6;6;24;6;4;6;16;4;5;4;13;6;6;6;6;24;6;6;6;5;23;6;6;6;18;5;5;4;14;6;6;6;6;6;6;36;6;6;6;6;6;30
6;5;5;16;5;5;6;6;22;7;7;7;21;6;6;4;5;21;5;5;4;14;6;6;6;18;7;7;7;7;28;6;6;6;6;24;7;6;6;19;7;7;4;18;7;7;7;7;7;7;42;4;4;4;5;5;22
7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;7;7;28;7;7;7;21;6;7;6;19;7;7;7;7;28;7;7;7;7;28;6;6;6;18;7;7;7;21;6;6;7;7;7;7;40;7;7;7;7;7;35
7;7;7;21;5;7;6;7;25;7;7;7;21;7;7;6;7;27;7;7;7;21;7;7;7;21;7;7;7;7;28;7;7;7;7;28;7;7;7;21;7;7;7;21;7;7;7;7;7;7;42;7;7;7;7;7;35
7;7;7;21;5;7;6;6;24;7;5;6;18;6;6;5;6;23;6;5;5;16;6;7;7;20;7;7;6;7;27;6;7;7;6;26;6;6;5;17;5;6;5;16;6;5;7;7;7;7;39;6;6;6;6;6;30
6;6;6;18;7;7;4;3;21;6;6;7;19;6;6;6;4;22;6;6;4;16;1;3;4;8;7;6;6;6;25;7;7;5;6;25;6;6;5;17;2;6;2;10;6;6;7;6;6;7;38;4;5;5;2;6;22
7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;7;7;28;7;7;7;21;6;6;7;19;7;7;7;7;28;7;7;7;7;28;7;7;7;21;7;7;7;21;6;6;6;6;6;6;36;7;7;7;7;7;35
6;6;6;18;5;5;3;6;19;6;6;6;18;6;6;6;6;24;6;6;6;18;5;5;5;15;6;6;6;6;24;6;6;6;4;22;6;6;6;18;5;7;6;18;7;7;7;7;7;7;42;4;4;5;4;6;23
6;7;5;18;6;4;7;3;20;7;4;5;16;7;7;5;6;25;3;5;7;15;6;3;5;14;3;6;2;5;16;4;7;4;6;21;5;3;5;13;7;3;5;15;7;5;6;4;6;2;30;4;6;4;7;6;27
7;7;7;21;7;7;7;7;28;7;7;7;21;2;7;7;7;23;7;7;7;21;6;7;7;20;7;7;7;7;28;7;7;7;7;28;7;7;7;21;7;7;7;21;7;7;7;7;7;7;42;6;7;7;7;7;34
7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;6;6;26;6;7;6;19;6;6;6;18;7;7;7;7;28;7;7;7;7;28;7;7;6;20;5;6;2;13;7;7;7;7;7;7;42;7;7;7;7;7;35
7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;7;7;28;7;7;7;21;5;7;7;19;7;7;7;7;28;7;7;7;7;28;7;7;7;21;7;7;6;20;7;7;7;7;7;7;42;7;7;7;7;7;35
7;7;7;21;5;7;7;7;26;7;7;7;21;7;7;7;7;28;7;7;7;21;7;5;7;19;7;7;7;7;28;7;7;7;7;28;7;7;7;21;7;7;7;21;7;7;7;7;7;7;42;7;7;7;7;7;35
7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;7;21;7;7;7;7;28;7;7;7;7;28;7;7;7;21;7;7;7;21;7;7;7;7;7;7;42;7;7;7;7;7;35
7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;7;21;7;7;7;7;28;7;7;7;7;28;7;7;7;21;7;7;7;21;7;7;7;7;7;7;42;7;7;7;7;7;35
7;7;7;21;7;7;7;7;28;7;7;7;21;4;7;4;5;20;7;7;7;21;7;7;7;21;7;7;7;7;28;5;7;7;7;26;7;7;7;21;4;7;7;18;7;7;7;7;7;7;42;4;6;7;7;7;31
